date,category,subcategory,description,amount,type
2024-01-03,Logement,Loyer,Loyer janvier,-950.00,expense
2024-01-05,Alimentation,Courses,Carrefour,-87.50,expense
2024-01-08,Transport,Transports en commun,Navigo mensuel,-86.40,expense
2024-01-10,Salaire,,Virement salaire,2800.00,income
2024-01-12,Alimentation,Restaurant,Déjeuner travail,-18.50,expense
2024-01-15,Loisirs,Streaming,Netflix,-15.99,expense
2024-01-15,Loisirs,Streaming,Spotify,-9.99,expense
2024-01-17,Alimentation,Courses,Monoprix,-63.20,expense
2024-01-19,Santé,Pharmacie,Médicaments,-24.00,expense
2024-01-22,Vêtements,,Zara soldes,-59.90,expense
2024-01-25,Alimentation,Courses,Lidl,-45.80,expense
2024-01-28,Loisirs,Sorties,Cinéma,-22.00,expense
2024-01-30,Épargne,,Virement épargne,-300.00,expense
2024-02-01,Logement,Loyer,Loyer février,-950.00,expense
2024-02-03,Alimentation,Courses,Carrefour,-92.30,expense
2024-02-05,Transport,Transports en commun,Navigo mensuel,-86.40,expense
2024-02-08,Freelance,,Mission dev,-450.00,income
2024-02-10,Salaire,,Virement salaire,2800.00,income
2024-02-12,Santé,Sport,Abonnement salle,-39.99,expense
2024-02-14,Loisirs,Sorties,Saint-Valentin resto,-75.00,expense
2024-02-16,Alimentation,Courses,Monoprix,-58.40,expense
2024-02-18,Loisirs,Streaming,Netflix,-15.99,expense
2024-02-18,Loisirs,Streaming,Spotify,-9.99,expense
2024-02-20,Alimentation,Restaurant,Déjeuner client,-32.00,expense
2024-02-23,Alimentation,Courses,Lidl,-51.20,expense
2024-02-26,Logement,Charges,EDF,-78.50,expense
2024-02-28,Épargne,,Virement épargne,-300.00,expense
2024-03-01,Logement,Loyer,Loyer mars,-950.00,expense
2024-03-04,Alimentation,Courses,Carrefour,-78.90,expense
2024-03-06,Transport,Transports en commun,Navigo mensuel,-86.40,expense
2024-03-08,Loisirs,Culture,Livre technique,-28.00,expense
2024-03-10,Salaire,,Virement salaire,2800.00,income
2024-03-12,Santé,Médecin,Consultation généraliste,-25.00,expense
2024-03-15,Alimentation,Courses,Monoprix,-67.80,expense
2024-03-17,Loisirs,Streaming,Netflix,-15.99,expense
2024-03-17,Loisirs,Streaming,Spotify,-9.99,expense
2024-03-19,Transport,Carburant,Station service,-55.00,expense
2024-03-21,Alimentation,Restaurant,Resto amis,-48.00,expense
2024-03-24,Alimentation,Courses,Lidl,-39.50,expense
2024-03-27,Santé,Sport,Abonnement salle,-39.99,expense
2024-03-28,Freelance,,Mission analyse,-600.00,income
2024-03-31,Épargne,,Virement épargne,-300.00,expense
2024-04-01,Logement,Loyer,Loyer avril,-950.00,expense
2024-04-03,Alimentation,Courses,Carrefour,-95.60,expense
2024-04-05,Transport,Transports en commun,Navigo mensuel,-86.40,expense
2024-04-08,Loisirs,Voyage,Week-end Bordeaux,-280.00,expense
2024-04-10,Salaire,,Virement salaire,2800.00,income
2024-04-13,Alimentation,Courses,Monoprix,-72.30,expense
2024-04-15,Loisirs,Streaming,Netflix,-15.99,expense
2024-04-15,Loisirs,Streaming,Spotify,-9.99,expense
2024-04-18,Santé,Pharmacie,Vitamines,-19.50,expense
2024-04-20,Vêtements,,Decathlon,-89.00,expense
2024-04-23,Alimentation,Restaurant,Déjeuner travail,-21.00,expense
2024-04-25,Alimentation,Courses,Lidl,-48.70,expense
2024-04-28,Santé,Sport,Abonnement salle,-39.99,expense
2024-04-30,Épargne,,Virement épargne,-300.00,expense
2024-05-02,Logement,Loyer,Loyer mai,-950.00,expense
2024-05-04,Alimentation,Courses,Carrefour,-82.10,expense
2024-05-06,Transport,Transports en commun,Navigo mensuel,-86.40,expense
2024-05-09,Freelance,,Mission dashboard,-750.00,income
2024-05-10,Salaire,,Virement salaire,2800.00,income
2024-05-13,Alimentation,Courses,Monoprix,-61.40,expense
2024-05-15,Loisirs,Streaming,Netflix,-15.99,expense
2024-05-15,Loisirs,Streaming,Spotify,-9.99,expense
2024-05-17,Logement,Charges,Internet,-39.99,expense
2024-05-19,Alimentation,Restaurant,Brunch,-35.00,expense
2024-05-21,Loisirs,Culture,Musée,-14.00,expense
2024-05-24,Alimentation,Courses,Lidl,-53.80,expense
2024-05-26,Santé,Sport,Abonnement salle,-39.99,expense
2024-05-28,Transport,Carburant,Station service,-60.00,expense
2024-05-31,Épargne,,Virement épargne,-400.00,expense
2024-06-01,Logement,Loyer,Loyer juin,-950.00,expense
2024-06-03,Alimentation,Courses,Carrefour,-88.90,expense
2024-06-05,Transport,Transports en commun,Navigo mensuel,-86.40,expense
2024-06-08,Loisirs,Voyage,Billets avion vacances,-320.00,expense
2024-06-10,Salaire,,Virement salaire,2800.00,income
2024-06-12,Alimentation,Courses,Monoprix,-74.50,expense
2024-06-15,Loisirs,Streaming,Netflix,-15.99,expense
2024-06-15,Loisirs,Streaming,Spotify,-9.99,expense
2024-06-17,Freelance,,Mission reporting,-500.00,income
2024-06-19,Santé,Médecin,Dermatologue,-60.00,expense
2024-06-22,Alimentation,Restaurant,Fête de la musique,-42.00,expense
2024-06-25,Alimentation,Courses,Lidl,-44.20,expense
2024-06-27,Santé,Sport,Abonnement salle,-39.99,expense
2024-06-30,Épargne,,Virement épargne,-400.00,expense
